frame,good_matches,inliers
439,843,551
440,938,633
441,581,311
442,651,396
443,728,419
444,700,431
445,634,380
446,1024,728
447,870,591
448,1080,833
449,1081,760
450,956,697
451,1144,878
452,927,627
453,1010,666
454,1183,887
455,1430,1128
456,1174,899
457,1215,976
458,1156,906
459,1076,748
460,1315,924
461,1281,898
462,1414,1102
463,1150,790
464,969,594
465,1122,765
466,1300,1016
467,1184,816
468,1169,801
469,1204,806
470,1180,762
471,1257,903
472,1019,651
473,1157,712
474,1273,814
475,351,178
476,1893,1465
477,1772,1377
478,1631,1222
479,2235,1795
480,1699,1214
481,1317,996
482,391,197
483,1473,1024
484,1280,922
485,1312,962
486,504,278
487,1727,1328
488,2120,1641
489,2274,1890
490,1079,716
491,1531,1087
492,1160,861
493,338,172
494,1083,677
495,1025,677
496,1024,713
497,1253,844
498,1334,895
499,1231,837
500,1040,683
501,1235,842
502,1008,618
503,1136,749
504,1177,809
505,795,467
506,984,641
507,925,554
508,794,451
509,900,558
510,967,581
511,1261,864
512,1049,707
513,822,515
514,1133,761
515,1137,741
516,988,655
517,1263,932
518,1300,899
519,1019,674
520,1173,861
521,1306,989
522,1139,792
523,1193,874
524,1102,738
525,1042,677
526,1170,812
527,1254,865
528,1148,803
529,960,647
530,212,99
531,1450,1082
532,222,107
533,627,335
534,526,325
535,1281,928
536,1460,1065
537,711,432
538,712,400
539,872,536
540,1324,954
541,1557,1188
542,1405,977
543,1569,1178
544,1539,1192
545,1676,1299
546,954,602
547,1159,794
548,1810,1312
549,1784,1299
550,587,330
551,538,311
552,1818,1338
553,1874,1560
554,1788,1470
555,1921,1494
556,1870,1415
557,1310,965
558,1115,762
559,1209,842
560,1346,913
561,825,478
562,634,364
563,1171,745
564,1343,888
565,898,497
566,590,305
567,922,579
568,929,582
569,867,527
570,1023,665
571,1038,657
572,1068,719
573,995,598
574,851,499
575,957,599
576,992,564
577,1192,796
578,1114,691
579,1255,855
580,1595,1141
581,460,271
582,1899,1458
583,2033,1606
584,1933,1496
585,659,386
586,663,402
587,2121,1772
588,2079,1673
589,513,284
590,520,302
591,2166,1812
592,464,282
593,1092,736
594,1017,719
595,1232,933
596,1021,692
597,1015,683
598,1267,909
599,1174,807
600,1074,669
601,1311,941
602,937,536
603,1090,684
604,1065,725
605,1083,699
606,323,153
607,1721,1300
608,660,374
609,692,401
610,996,637
611,980,632
612,454,218
613,472,234
614,668,344
615,942,593
616,1081,705
617,1090,731
618,1022,670
619,825,557
620,1132,784
621,1205,832
622,281,147
623,1730,1353
624,428,247
625,889,586
626,319,160
627,1488,1114
628,1659,1390
629,1622,1352
630,1515,1220
631,946,661
632,474,291
633,1306,925
634,1173,829
635,292,172
636,1576,1171
637,278,147
638,1124,759
639,898,594
640,920,584
641,984,641
642,995,648
643,1120,750
644,1079,679
645,913,557
646,979,645
647,369,218
648,1201,782
649,1865,1486
650,421,261
651,1327,862
652,402,233
653,554,357
654,717,490
655,1081,767
656,1615,1264
657,450,266
658,436,241
659,1462,1079
660,392,219
661,386,216
662,1721,1375
663,1717,1343
664,1709,1341
665,491,282
666,1135,844
667,1173,888
668,879,600
669,293,156
670,549,320
671,641,378
672,898,600
673,512,275
674,586,325
675,609,367
676,471,275
677,1405,1026
678,1680,1366
679,1503,1171
680,252,105
681,392,181
682,876,511
683,622,381
684,610,362
685,1162,851
686,1437,1094
687,1571,1280
688,787,519
689,462,234
690,795,471
691,954,608
692,1025,691
693,979,658
694,982,674
695,1018,635
696,968,610
697,1006,618
698,869,545
699,771,442
