frame_idx,rot_err_deg,trans_err
266,7.04833,1.26495
267,1.51212,0.756375
268,5.20912,1.31351
269,3.42461,1.164
270,3.48676,1.18576
271,6.9511,1.52024
272,2.02542,1.33426
273,9.835,1.12904
274,3.75432,1.46453
275,2.33238,1.08219
276,10.7206,1.44045
277,2.90649,1.23739
278,1.48678,1.24188
279,5.51418,1.36927
280,5.74667,1.54708
281,2.25828,1.04414
282,3.57965,1.35587
283,2.79978,1.00488
284,0.728382,0.756718
285,6.54315,1.22369
286,5.60988,1.27213
287,3.04889,1.14852
288,5.947,1.50432
289,2.78553,1.09965
290,9.47741,1.38644
291,1.35723,1.42611
292,4.26644,1.14101
293,1.39324,0.859112
294,1.60562,1.3896
295,1.62517,1.04001
296,2.02903,1.16008
297,4.20279,1.19828
298,2.21772,1.43075
299,1.14812,1.5375
300,10.6686,1.28158
301,10.0924,1.17366
302,13.4688,1.14294
303,1.25807,1.42422
304,5.38617,1.34998
305,0.862082,0.689036
306,1.25973,0.371886
307,1.46809,0.879215
308,5.09301,1.03213
309,7.73463,1.40472
310,2.0368,0.676638
311,2.3214,1.20333
312,8.35963,1.15432
313,0.818347,0.838829
314,3.88401,1.19387
315,3.60804,1.39654
316,3.53924,0.795331
317,4.09907,0.81603
318,3.74136,1.57938
319,7.2516,1.72246
320,5.82339,0.961413
321,4.21889,1.51592
322,1.67932,0.538448
323,3.46763,1.37999
324,1.98487,0.768505
325,4.55865,1.41552
326,2.88308,1.23328
327,2.17909,1.34369
328,11.4841,1.50545
329,0.830376,0.732086
