frame,rot_deg,trans_err
0,2.20355e-14,1.22149
1,1.39057e-14,nan
2,9.4584e-15,0.206478
3,1.72768e-14,0.454826
4,1.37753e-14,0.124492
5,3.68986e-14,0.200734
6,5.37883e-15,0.105153
7,1.23914e-14,0.197565
8,1.70824e-14,0.631812
9,1.56653e-14,0.121361
10,2.20446e-14,0.215099
11,1.47417e-14,0.128414
12,2.42903e-14,0.354657
13,2.39804e-14,0.117811
14,5.34652e-15,0.0748334
15,1.4187e-14,0.0698071
16,1.62785e-14,1.27823
17,1.79997e-14,0.269895
18,1.06205e-14,nan
19,0,0.416394
20,2.86738e-15,0.102626
21,1.3814e-14,0.168436
22,5.37962e-15,0.0861562
23,1.8952e-14,0.0422936
24,1.44644e-14,0.284659
25,1.89565e-14,0.254769
26,6.92348e-15,0.805721
27,9.64535e-15,nan
28,6.36233e-15,0.24507
29,1.15311e-14,0.0966209
30,5.86743e-15,0.0868555
31,1.51605e-14,0.035045
32,2.04142e-14,0.190645
33,1.39413e-14,0.254904
34,2.23322e-14,0.546944
35,2.21854e-14,nan
36,2.01309e-14,0.0253353
37,1.21046e-14,0.0945829
38,1.46234e-14,0.118838
39,5.50374e-15,0.119364
40,1.2548e-14,0.13422
41,1.84492e-14,0.155556
42,6.11068e-15,0.407353
43,8.69494e-15,0.361766
44,1.53949e-14,0.238912
45,1.05598e-14,0.0807552
46,9.76729e-15,0.145261
47,1.79829e-14,0.0910462
48,2.74543e-14,0.104913
49,2.78943e-15,0.0453644
50,2.12272e-14,0.0485436
51,1.04615e-14,0.153941
52,9.4928e-15,0.193334
53,1.31433e-14,0.0596689
54,9.37282e-15,0.383492
55,9.41311e-15,0.065657
56,1.13553e-14,0.23982
57,1.22333e-14,0.121461
58,2.24043e-14,0.133122
59,2.62254e-14,0.0250379
60,1.05686e-14,0.2454
61,0,0.119609
62,1.59451e-14,0.106848
63,2.77586e-14,0.0380234
64,1.21091e-14,0.0513065
65,2.78863e-15,0.172616
66,1.67285e-14,0.247396
67,2.68395e-14,0.109249
68,1.10521e-14,0.0145613
69,5.71395e-15,0.145882
70,5.83328e-15,0.0315107
71,2.91117e-15,0.115859
72,1.90324e-14,0.266479
73,2.06946e-14,0.0735603
74,1.0318e-14,0.0667471
75,8.05205e-15,0.111875
76,1.36432e-14,0.0922551
77,1.36699e-14,0.0223439
78,2.53538e-14,0.0388052
79,1.21389e-14,0.0195531
80,2.53762e-14,0.0527744
81,2.60235e-14,0.0629643
82,1.27236e-14,0.351094
83,1.27236e-14,0.212393
84,0,nan
85,1.27236e-14,0.282714
86,1.99474e-14,0.223425
87,5.83381e-15,0.0621647
88,2.91649e-15,0.151551
89,0,0.0541513
90,2.66819e-14,0.0201512
91,1.13663e-14,0.232175
92,1.13375e-14,0.180518
93,1.38194e-14,0.0290098
94,5.77926e-15,0.0932959
95,1.2113e-14,0.0621752
96,2.07507e-14,0.107505
97,2.74769e-15,0.0461589
98,1.32765e-14,0.024876
99,1.42233e-14,0.0817035
100,5.83624e-15,0.019352
101,1.65037e-14,0.052777
102,2.99277e-14,0.0516932
103,2.23593e-14,0.120975
104,2.85483e-14,0.0807685
105,8.75312e-15,0.0665793
106,1.70216e-14,0.0359211
107,1.42836e-14,0.0804034
108,1.12452e-14,0.05109
109,8.42341e-15,0.0679806
110,1.45204e-14,0.106991
111,1.48141e-14,0.0265891
112,1.41624e-14,0.128191
113,2.92265e-15,0.0580834
114,1.08971e-14,0.0527337
115,1.68151e-14,0.016959
116,1.04143e-14,0.0790746
117,1.37324e-14,0.143577
118,1.06254e-14,0.208739
119,1.48803e-14,0.0758117
120,1.30234e-14,0.0276363
121,1.26071e-14,0.0282717
122,2.93448e-14,0.113245
123,9.07502e-15,0.093346
124,5.42382e-15,0.0827591
125,2.62105e-14,0.086568
126,7.12403e-15,0.0924664
127,5.71861e-15,0.100975
128,0,0.184848
129,0,0.0232014
130,0,0.0923296
131,0,0.231981
132,0,0.0602952
133,0,0.190161
134,0,0.108124
135,0,0.0531228
136,0,0.0784836
137,0,0.0264607
138,0,0.0343365
139,0,0.100197
140,0,0.0533866
141,0,0.152234
142,0,0.12437
143,0,0.0561985
144,0,0.00466516
145,0,0.130093
146,0,0.115067
147,0,0.0861842
148,0,0.0395364
149,0,0.0719547
150,0,0.0340268
151,0,0.0164891
152,0,0.205311
153,0,0.115272
154,0,0.0785945
155,0,0.169851
156,0,0.161064
157,0,0.0917729
158,0,0.00467962
159,0,0.0226528
160,0,0.0366202
161,0,0.086785
162,0,0.119067
163,0,0.101416
164,0,0.0432804
165,0,0.0167144
166,0,0.0699133
167,0,0.0193412
168,0,0.174128
169,0,0.12211
170,0,0.190772
171,0,0.0753912
172,0,0.0204982
173,0,0.0721792
174,0,0.128592
175,0,0.0237029
176,0,0.2342
177,0,0.0479412
178,0,0.0368597
179,0,0.107117
180,0,0.0522288
181,0,0.0179994
182,0,0.183736
183,0,0.376909
184,0,0.0880221
185,0,0.0733405
186,0,0.00870731
187,0,0.0525138
188,0,0.185777
189,0,0.140487
190,0,0.017546
191,0,0.0175763
192,0,0.270778
193,0,0.0254233
194,0,0.200384
195,0,0.0899685
196,0,0.0950304
197,0,0.076462
198,0,0.119645
199,0,0.171196
200,0,0.0448734
201,0,0.0590065
202,0,0.0297494
203,0,0.126332
204,0,0.232433
205,0,0.110133
206,0,0.112192
207,0,0.0482149
208,0,0.0834901
209,0,0.176594
210,0,0.0131841
211,0,0.037928
212,0,0.00764905
213,0,0.0637251
214,0,0.112093
215,0,0.0180451
216,0,0.0749361
217,0,0.123005
218,0,0.0842911
219,0,0.0702791
220,0,0.0829756
221,0,0.099119
222,0,0.0937182
223,0,0.223157
224,0,0.0831653
225,0,0.206955
226,0,0.179003
227,0,0.066166
228,0,0.114833
229,0,0.0316456
230,0,0.00597348
231,0,0.0166508
232,0,0.0659014
233,0,0.0695951
234,0,0.0801447
235,0,0.0611045
236,0,0.184922
237,0,0.0707291
238,0,0.0385668
239,0,0.0418187
240,0,0.0203623
241,0,0.0319403
242,0,0.125046
243,0,0.0389553
244,0,0.0994055
245,0,0.0238997
246,0,0.0651255
247,0,0.0617114
248,0,0.0445113
249,0,0.103056
250,0,0.160337
251,0,0.0759801
252,0,0.101771
253,0,0.0423831
254,0,0.127502
255,0,0.0439059
256,0,0.0468533
257,0,0.0604518
258,0,0.0761668
259,0,0.378506
260,0,0.114917
261,0,0.100976
262,0,0.143848
263,0,0.0184039
264,0,0.0471945
265,0,0.0106744
266,0,0.0565995
267,0,0.0123776
268,0,0.0292526
269,0,0.0407244
270,0,0.328116
271,0,0.105152
272,0,0.0522502
273,0,0.0530565
274,0,0.0317867
275,0,0.0658507
276,0,0.0915423
277,0,0.223882
278,0,0.0660952
279,0,0.0525787
280,0,0.109595
281,0,0.0780979
282,0,0.0332116
283,0,0.111685
284,0,0.0285558
285,0,0.0210387
286,0,0.125359
287,0,0.0461174
288,0,0.026329
289,0,0.0779743
290,0,0.0296138
291,0,0.15502
292,0,0.0664251
293,0,0.0228455
294,0,0.0553457
295,0,0.0734736
296,0,0.0588161
297,0,0.00201224
298,0,0.0797434
299,0,0.175301
300,0,0.0619584
301,0,0.0149358
302,0,0.00433235
303,0,0.126013
304,0,0.131023
305,0,0.0510367
306,0,0.0281462
307,0,0.012016
308,0,0.0860676
309,0,0.0399196
310,0,0.0417844
