stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
0,0,-3.822142714415726,0.6490862333923547,-5.56598712574396,0.9794826356475661,-0.07929592820535408,0.16331546518110063,-0.08748703371145482
0,0,-4.440516446739728,0.9857814693198007,-5.697731669576127,0.9772050789117906,-0.10306839842611558,0.15589007687535952,-0.10072449020308279
0,0,-5.008049731576658,1.1718766368366351,-6.093135518562652,0.9747116265293371,-0.11205668409459299,0.15962077478080747,-0.10909515533071806
0,0,-5.3671544391109505,1.0086087432907145,-6.710370456736571,0.9687151176765849,-0.11424760899668364,0.19322883435112176,-0.10583535420022894
0,0,-5.8763999457516425,0.6628903831249937,-7.097807649776013,0.9646596592774792,-0.11564840069410239,0.2138212343661547,-0.10167432770216835
0,0,-6.01689471224861,0.6131191990775865,-7.8028859241250474,0.9622183944915436,-0.12660737244488268,0.22520786840578136,-0.08595202471636976
0,0,-6.296166801457963,0.41681472932445784,-8.435942078517808,0.9598035410699057,-0.12069778140729555,0.24154556130780885,-0.07658296106525263
0,0,-6.233545529517241,0.066078789526613,-9.058836267534948,0.9518701155497507,-0.11925826795854384,0.2767097098193665,-0.05614699581023511
0,0,-6.787527616195689,-0.14672295231056776,-9.472849540655565,0.9476718632009951,-0.11003885089341904,0.29541485950605995,-0.050393965652895556
0,0,-6.0927272632349805,-0.19704094300298047,-9.335567089600824,0.9514643986087761,-0.12948003540964118,0.2779944473392826,-0.025874811282112945
0,0,-5.7214941158501995,-0.6071629694225804,-9.789844856477938,0.9480602853337706,-0.13851803446501507,0.2858064960192921,-0.017581135741828763
0,0,-6.195178978399801,-0.8897156400045879,-10.25204179905971,0.9465124243643601,-0.13785504568933316,0.2915670904751436,-0.009942266027070606
0,0,-6.296551879083229,-1.3565898126540352,-10.797516747518033,0.9435709725131652,-0.1301647186688544,0.30447525184556085,-0.005078076210530909
0,0,-6.177448085471513,-1.8841792983492363,-11.260935821315716,0.9396296876012072,-0.13748996774225555,0.313238239765074,-0.00862346204079884
0,0,-6.747395623590108,-2.3267738732598606,-11.327843002827315,0.9373117355652181,-0.1326590366368643,0.32221001760646145,-0.0053846935234638125
0,0,-7.268444159465102,-2.8303826537118146,-11.356750384627318,0.9334244467225821,-0.1087859686981723,0.3413870671014677,-0.01841970930552591
0,0,-7.391169002716177,-3.559754968322698,-11.207766860472189,0.9233693179487911,-0.0540474659537444,0.3781914773232456,-0.03793653351090758
0,0,-6.731752500366441,-3.300032395027738,-11.36816557228906,0.9081058359784925,-0.05172612550485003,0.4153664182478217,-0.011787162255422154
0,0,-6.014106787109039,-3.2784340903665723,-11.27457691218325,0.9009871579237281,-0.0419339128728604,0.43174662326067564,0.007651242428428554
0,0,-5.328718786363822,-3.534701219779693,-11.232629626167999,0.8796639022842442,-0.011891646227496017,0.4731830868966292,0.046344083150201575
0,0,-4.9995988651883865,-4.006728383614857,-10.809532428449284,0.8775003477283121,0.007938231744956375,0.47769311113034163,0.041706303984769856
0,0,-4.589701477064654,-4.5056290511916,-10.442141308978815,0.8725887273206301,0.09771516233141993,0.4766871654557143,0.04254416873443
0,0,-4.609730615618612,-4.866920858024047,-11.073510996422222,0.8371466741239126,0.12507343690904096,0.5278739546150978,0.069936895999534
0,0,-4.325184996995223,-4.64367535469558,-10.432073550541391,0.8448299115095789,0.127378382562766,0.5140940835487351,0.07579209414310298
0,0,-4.197661078084534,-5.087103876679583,-11.002109729123239,0.823149806999138,0.12734524599158664,0.5457327093831066,0.0915608730299012
0,0,-3.5439698262992425,-4.887776533130336,-11.248904977167022,0.8074984490112594,0.09274596410053887,0.5699982202182791,0.12019346877208541
0,0,-3.252901589355022,-5.381281536132174,-10.777646656796408,0.8190846857822784,0.11733872513712723,0.5515029737928947,0.10571835695721722
0,0,-3.5960536999578987,-5.983134916420111,-10.577143323600183,0.8162082889924539,0.14863613951829996,0.5490708754459119,0.10115582408426771
