stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
0,0,-27.348506177568357,4.744917043085289,12.978758763572971,0.07789391547290421,0.14228575424501305,-0.04782494523794332,0.9855963051291413
0,0,-27.87126272869674,5.076036319493615,13.320936514228457,0.08322296440315846,0.12714587140278877,-0.04135003998287776,0.987521159152851
0,0,-28.47050136728097,5.363457465482573,13.562394872679993,0.09019788810284307,0.11600751355600936,-0.037404918093179196,0.9884368820935315
0,0,-29.103651567361126,5.678269126504264,13.558594580161653,0.09447566766341155,0.10761275963523893,-0.03339442494213714,0.9891302515675198
0,0,-29.6774641014971,5.585390634086162,13.961226870613611,0.09457515541759762,0.09358015019235558,-0.026771419344401557,0.990747993474627
0,0,-30.31939624391573,5.701153752575512,14.234214095456556,0.09200526842131931,0.09009824140690915,-0.02349994682026955,0.9913955265067257
0,0,-29.775127950526418,5.460115996232528,13.85254300036521,0.08907561178381761,0.05828020274298223,-0.009701322110315276,0.9942710081777942
0,0,-30.36453265940405,5.595092836414386,14.219126335730305,0.08984202289412226,0.04580597607539891,-0.004917565337069516,0.9948899642820948
0,0,-30.83178169284238,5.416358462514336,14.718858628406853,0.08393983561738799,0.03864196703803338,-0.0031287595084491574,0.9957163819300633
0,0,-31.39852912714434,5.652670089407257,15.069506829182739,0.09381008029592598,0.036060857155235125,0.0006872964860394294,0.9949365864413883
0,0,-32.105378339092354,5.668719163257845,15.07983246703315,0.0963474197884171,0.032487257471699296,0.002256746769042544,0.994814887250941
0,0,-32.717877854974454,5.8147075535919095,15.401595940615634,0.09329189100789755,0.026015767231193268,0.007728006505642638,0.9952688485243532
0,0,-33.25878835515204,6.2628069274823055,15.320215464353408,0.10264848030954409,0.02030069344649042,0.0073489671189390275,0.9944833653802448
0,0,-33.923519821928615,6.3582551948227115,15.54162392249984,0.10378621674524256,0.01774714672035766,0.016194706960087173,0.9943094042919802
0,0,-34.62880810939985,6.384571192551296,15.584935581662762,0.09845228736349348,0.026440390430930574,0.008311995216942869,0.9947557306204723
0,0,-34.56949233191384,7.012835575856528,15.90394263990964,0.09432188635609291,0.01903284354411264,0.0117021686574096,0.9952910086349455
0,0,-34.56287206671096,7.669939351722617,16.165038024455544,0.084604406694943,0.013606136484911517,-0.0004128637495445962,0.9963216332898102
0,0,-35.027530246889754,7.269331503711233,16.51661465579588,0.04010225382943739,0.04030708753143746,-0.006040979275848785,0.9983639889849399
